TransactionID,Amount,Date,Description,PaymentMethod,MerchantName,MerchantCategoryCode,Status,Recurrence,AccountHolderAge,AccountHolderGender,Category
1,17975.39,2024-11-20,Merchant_83 Transport,Debit Card,Merchant_83,7997,Posted,Recurring,27,Female,Transport
2,19747.73,2025-07-20,Merchant_46 Fuel,NEFT,Merchant_46,4121,Posted,One-time,38,Female,Fuel
3,10756.63,2025-05-25,Merchant_7 Groceries,UPI,Merchant_7,8299,Pending,Regular,72,Male,Groceries
4,13556.54,2025-03-05,Merchant_87 Transport,Debit Card,Merchant_87,5411,Posted,Recurring,58,Female,Transport
5,1893.9,2025-09-16,Merchant_93 Insurance,Auto-Debit,Merchant_93,7841,Posted,One-time,64,Female,Insurance
6,2214.77,2025-01-06,Merchant_95 Gifts,UPI,Merchant_95,5947,Pending,Regular,23,Male,Gifts
7,16730.88,2025-02-13,Merchant_33 Subscription,Debit Card,Merchant_33,7997,Posted,Recurring,49,Male,Subscription
8,4604.71,2025-08-02,Merchant_49 Medical,Auto-Debit,Merchant_49,8299,Posted,Recurring,59,Male,Medical
9,15037.46,2025-04-15,Merchant_71 Travel,Credit Card,Merchant_71,8011,Pending,Regular,49,Female,Travel
10,1075.67,2025-08-07,Merchant_40 Utilities,Credit Card,Merchant_40,8011,Pending,One-time,36,Female,Utilities
11,2324.77,2025-05-11,Merchant_71 Education,Credit Card,Merchant_71,5411,Pending,One-time,30,Female,Education
12,17733.42,2025-02-20,Merchant_83 Fuel,Auto-Debit,Merchant_83,6311,Pending,Recurring,60,Female,Fuel
13,18682.83,2025-03-03,Merchant_26 Groceries,NEFT,Merchant_26,7841,Pending,Recurring,65,Female,Groceries
14,2944.15,2025-10-16,Merchant_55 Shopping,Debit Card,Merchant_55,5541,Pending,One-time,18,Male,Shopping
15,17020.7,2025-10-14,Merchant_47 Health & Fitness,NEFT,Merchant_47,8299,Posted,One-time,41,Female,Health & Fitness
16,5266.51,2025-05-21,Merchant_99 Education,Debit Card,Merchant_99,5541,Pending,One-time,33,Female,Education
17,12719.97,2025-04-03,Merchant_13 Groceries,UPI,Merchant_13,6513,Pending,Regular,39,Male,Groceries
18,8176.08,2025-05-21,Merchant_90 Medical,Debit Card,Merchant_90,6311,Posted,Recurring,55,Male,Medical
19,14616.33,2025-04-07,Merchant_54 Health & Fitness,Credit Card,Merchant_54,7841,Posted,One-time,44,Female,Health & Fitness
20,11135.42,2025-02-19,Merchant_55 Fuel,UPI,Merchant_55,4784,Posted,One-time,40,Male,Fuel
21,11082.12,2025-05-05,Merchant_45 Groceries,NEFT,Merchant_45,7997,Pending,Regular,50,Male,Groceries
22,2818.21,2025-07-18,Merchant_94 Shopping,Debit Card,Merchant_94,4784,Posted,One-time,67,Female,Shopping
23,3822.57,2025-06-05,Merchant_71 Rent,Auto-Debit,Merchant_71,6513,Pending,Regular,52,Female,Rent
24,7264.14,2025-08-13,Merchant_1 Entertainment,NEFT,Merchant_1,5812,Posted,One-time,37,Female,Entertainment
25,10274.51,2025-10-15,Merchant_69 Rent,UPI,Merchant_69,7832,Pending,Regular,71,Male,Rent
26,13463,2025-02-17,Merchant_71 Gifts,Credit Card,Merchant_71,5411,Pending,Recurring,48,Male,Gifts
27,11542.87,2025-01-24,Merchant_74 Medical,Auto-Debit,Merchant_74,4121,Posted,Regular,29,Male,Medical
28,2028.63,2025-01-26,Merchant_12 Fuel,Debit Card,Merchant_12,5732,Pending,Recurring,37,Male,Fuel
29,1935.08,2024-12-02,Merchant_84 Fuel,Credit Card,Merchant_84,8011,Posted,One-time,72,Female,Fuel
30,10552.45,2025-05-29,Merchant_71 Gifts,Auto-Debit,Merchant_71,5411,Posted,Regular,21,Male,Gifts
31,7887.32,2025-10-19,Merchant_17 Utilities,Credit Card,Merchant_17,6311,Pending,One-time,52,Female,Utilities
32,2328.8,2024-11-27,Merchant_86 Entertainment,Auto-Debit,Merchant_86,5947,Pending,Regular,36,Female,Entertainment
33,2232.29,2025-04-30,Merchant_78 Groceries,Auto-Debit,Merchant_78,5732,Pending,Regular,30,Male,Groceries
34,3253.24,2025-07-17,Merchant_46 Health & Fitness,NEFT,Merchant_46,5411,Posted,Recurring,41,Female,Health & Fitness
35,2983.62,2024-10-27,Merchant_96 Groceries,NEFT,Merchant_96,5411,Posted,One-time,73,Male,Groceries
36,4766.58,2024-11-19,Merchant_27 Gifts,NEFT,Merchant_27,5541,Pending,Regular,27,Male,Gifts
37,8153.74,2025-08-10,Merchant_47 Fuel,NEFT,Merchant_47,4784,Pending,One-time,55,Male,Fuel
38,19669.34,2025-06-07,Merchant_35 Utilities,Credit Card,Merchant_35,5732,Pending,Recurring,38,Female,Utilities
39,10310.91,2025-04-09,Merchant_95 Transport,Credit Card,Merchant_95,5732,Pending,One-time,20,Female,Transport
40,777.47,2025-03-18,Merchant_2 Entertainment,UPI,Merchant_2,5732,Posted,Regular,75,Female,Entertainment
41,283.93,2025-01-23,Merchant_61 Health & Fitness,UPI,Merchant_61,5732,Pending,Regular,25,Female,Health & Fitness
42,4391.54,2025-04-23,Merchant_62 Travel,Credit Card,Merchant_62,4784,Pending,Regular,67,Male,Travel
